key,name
rnpn,Registro Nacional de las Personas Naturales
indes,Instituto Nacional de los Deportes de El Salvador
isdemu,Instituto Salvadoreño para el Desarrollo de la Mujer
fisdl-finet,Fondo de Inversión Social para el Desarrollo Local de El Salvador en transición a Ministerio de Desarrollo Local / Fondo de Inversión Nacional en Electrificación y Telefonía 
fosofamilia,Fondo Solidario para la Familia Microempresaria
mh,Ministerio de Hacienda
lnb,Lotería Nacional de Beneficencia
inpep,Instituto Nacional de Pensiones de los Empleados Públicos
capres,Presidencia de la República
rree,Ministerio de Relaciones Exteriores
mdn,Ministerio de la Defensa Nacional
isdem,Instituto Salvadoreño de Desarrollo Municipal
ansp,Academia Nacional de Seguridad Pública
migobdt,Ministerio de Gobernación y Desarrollo Territorial
mjsp,Ministerio de Justicia y Seguridad Publica
mineducyt,"Ministerio de Educación, Ciencia y Tecnología"
caja-mined,Caja Mutual de los Empleados del Ministerio de Educación
isna,Instituto Salvadoreño Para el Desarrollo Integral de la Niñez y la Adolescencia
conna,Consejo Nacional de la Niñez y de la Adolescencia
minsal,Ministerio de Salud
cssp,Consejo Superior de Salud Pública
isri,Instituto Salvadoreño de Rehabilitación Integral
fosalud,Fondo Solidario para la Salud (Fosalud)
mtps,Ministerio de Trabajo y Previsión Social
insafocoop,Instituto Salvadoreño de Fomento Cooperativo
insaforp,Instituto Salvadoreño de Formación Profesional
isss,Instituto Salvadoreño del Seguro Social
foprolyd,Fondo de Proteccion de Lisiados y Discapacitados a Consecuencia del Conflicto Armado
minec,Ministerio de Economía
cifco,Centro Internacional de Ferias y Convenciones de El Salvador.
nconacyt,Nuevo Consejo Nacional de Ciencia y Tecnología
cvpcpa,Consejo de Vigilancia de la Profesión de Contaduría Pública y Auditoría
csc,Consejo Salvadoreño del Café
cel,Comisión Ejecutiva Hidroeléctrica del Río Lempa
corsatur,Corporación Salvadoreña de Turismo
siget,Superintendencia General de Electricidad y Telecomunicaciones
ssf,Superintendencia del Sistema Financiero
corsain,Corporación Salvadoreña de Inversiones
cnr,Centro Nacional de Registros
sc,Superintendencia de Competencia
dc,Defensoría del Consumidor
conamype,Comisión Nacional de la Micro y Pequeña Empresa
mag,Ministerio de Agricultura y Ganadería
ista,Instituto Salvadoreño de Transformación Agraria
centa,"Centro Nacional de Tecnología Agropecuaria  y Forestal, Enrique Álvarez Córdova"
ena,Escuela Nacional de Agricultura
mopt,Ministerio de Obras Públicas y de Transporte
anda,Administración Nacional de Acueductos y Alcantarillados
fsv,Fondo Social para la Vivienda
cepa,Comision Ejecutiva Portuaria Autonoma
aac,Autoridad de Aviación Civil de El Salvador
fonavipo,Fondo Nacional de Vivienda Popular
fovial,Fondo de Conservación Víal
amp,AUTORIDAD MARÍTIMA PORTUARIA
marn,Ministerio de Medio Ambiente y Recursos Naturales
fonaes,Fondo Ambiental de El Salvador
mitur,Ministerio de Turismo
istu,Instituto Salvadoreño de Turismo
cefafa,Centro Farmacéutico de la Fuerza Armada
ilp-,Instituto de Legalización de la Propiedad (ILP).
fosep,Fondo Salvadoreño para Estudios de Preinversión
dgme,Dirección General de Migración y Extranjería
fantel,Fondo Especial de los Recursos provenientes de la Privatización de ANTEL
fosaffi,Fondo de Saneamiento y Fortalecimiento Financiero 
cne,Consejo Nacional de Energía
igd,Instituto de Garantía de Depósitos
pnc,Policía Nacional Civil
dgcp,Dirección General de Centros Penales
ipsfa,Instituto de Previsión Social de la Fuerza Armada.
bandesal,Banco de Desarrollo de El Salvador
isbm,Instituto Salvadoreño de Bienestar Magisterial
bfa,Banco de Fomento Agropecuario
bcr,Banco Central de Reserva de El Salvador
conaipd,Consejo Nacional de Atención Integral a la Persona con Discapacidad
cnc,Consejo Nacional de Calidad
dnm,Dirección Nacional de Medicamentos
al,Asamblea Legislativa
ccr,Corte de Cuentas de la República
cnj,Consejo Nacional de la Judicatura
csj,Corte Suprema de Justicia
fgr,Fiscalía General de la República
opamss,Oficina de Planificación del Área Metropolitana de San Salvador
pgr,Procuraduría General de la República
pddh,Procuraduría para la Defensa de los Derechos Humanos
teg,Tribunal de Ética Gubernamental
tsc,Tribunal de Servicio Civil
tse,Tribunal Supremo Electoral
ute,Unidad Técnica Ejecutiva del Sector de  Justicia
san-miguel-san-miguel-,Alcaldía Municipal de San Miguel
amsa,Alcaldía Municipal de Santa Ana
ues,Universidad de El Salvador
vmt,Viceministerio de Transporte
proesa,Organismo Promotor de Exportaciones e Inversiones de El Salvador
chinameca-san-miguel,"Alcaldía Municipal de Chinameca, San Miguel"
comacarán-san-miguel,Alcaldía Municipal de Comacarán
el-porvenir-santa-ana,Alcaldía Municipal de El Porvenir 
candelaria-cuscatlán,Alcaldía Municipal de Candelaria
san-pedro-masahuat-la-paz,Alcaldía Municipal de San Pedro Masahuat
santiago-texancuangos-san-salvador,Alcaldía Municipal de Santiago Texancuangos
pasaquina-la-unión,Alcaldía Municipal de Pasaquina
