Año,Oficina,Nombre de la oficina,Nivel,Clasificador,2. Propuesto,3. Aprobado,4. Modificado,5. Devengado
2012,0100,ASAMBLEA LEGISLATIVA,Gobierno central,,,56333375.0,56333375.0,54754319.14
2012,0200,CORTE DE CUENTAS DE LA REPUBLICA,Gobierno central,,,35833765.0,35333765.0,33440009.44
2012,0300,TRIBUNAL SUPREMO ELECTORAL,Gobierno central,,,28990030.0,28658953.0,39560737.14
2012,0301,REGISTRO NACIONAL DE LAS PERSONAS NATURALES  (RNPN),Descentralizadas,,,10066505.0,10967149.18,10937332.57
2012,0400,TRIBUNAL DE SERVICIO CIVIL,Gobierno central,,,826670.0,700478.0,684996.76
2012,0500,PRESIDENCIA DE LA REPUBLICA,Gobierno central,,,118262287.96,166610907.46,155742661.35
2012,0501,INSTITUTO NACIONAL DE LOS DEPORTES DE EL SALVADOR (INDES),Descentralizadas,,,12148205.0,14678236.0,14620745.32
2012,0504,INSTITUTO SALVADORE¥O P EL DESARROLLO DE LA MUJER (ISDEMU),Descentralizadas,,,4561659.59,4683595.59,4141176.88
2012,0507,FONDO DEL MILENIO,Descentralizadas,,,15640000.0,164634028.23,152750401.93
2012,0535,FONDO DE INV.SOCIAL P EL DESARROLLO LOCAL DE E.S.(FISDL),Descentralizadas,,,112566045.4,146392224.18,111207828.13
2012,0537,FONDO SOLIDARIO P  LA FAMILIA MICROEMPRESARIA (FOSOFAMILIA),Descentralizadas,,,3508340.0,2746840.0,2715724.1
2012,0551,COMISION NAC DE PROMOCION DE EXPORT E INVERSIONES (CONADEI),Descentralizadas,,,3150000.0,4216848.0,2809160.2
2012,0600,TRIBUNAL DE ÉTICA GUBERNAMENTAL,Gobierno central,,,1410035.0,1105022.0,1016179.95
2012,0700,RAMO DE HACIENDA,Gobierno central,,,70682045.0,79969197.0,69283793.7
2012,0701,LOTERIA NACIONAL DE BENEFICENCIA  (LNB),Descentralizadas,,,47345500.0,47345500.0,33946403.14
2012,0702,INSTITUTO NAC.DE PENSIONES DE LOS EMPLEADOS PUBLICOS (INPEP),Descentralizadas,,,244436330.0,244436330.0,236335585.4
2012,0704,FONDO SALVADORE¥O PARA ESTUDIOS DE PREINVERSION (FOSEP),Descentralizadas,,,11087830.0,11087830.0,3492562.01
2012,0800,MINSTERIO DE RELACIONES EXTERIORES,Gobierno central,,,45094906.41,43563356.41,41353085.05
2012,0900,RAMO DE LA DEFENSA NACIONAL,Gobierno central,,,151113475.0,167702269.0,164229404.93
2012,0901,INSTITUTO DE PREVISION SOCIAL DE LA FUERZA ARMADA (IPSFA),Descentralizadas,,,136202350.0,136202350.0,98419003.12
2012,0902,CENTRO FARMACEUTICO DE LA FUERZA ARMADA (CEFAFA),Descentralizadas,,,12764300.0,14676300.0,13852634.5
2012,1500,CONSEJO NACIONAL DE LA JUDICATURA,Gobierno central,,,5814600.0,5783640.0,5756604.75
2012,1600,CORTE SUPREMA DE JUSTICIA,Gobierno central,,,226898004.75,224599428.75,208161709.74
2012,1601,CAJA MUTUAL DEL ABOGADO DE EL SALVADOR (CAMUDASAL),Descentralizadas,,,1763195.0,2148688.31,1448343.83
2012,1700,FISCALIA GENERAL DE LA REPUBLICA,Gobierno central,,,33589061.32,34389061.32,34368606.16
2012,1800,PROCURADURIA GENERAL DE LA REPUBLICA,Gobierno central,,,20465366.57,20784111.57,20804590.03
2012,1900,PROCURADURIA PARA LA DEFENSA DE LOS DERECHOS HUMANOS,Gobierno central,,,8654942.14,8654942.14,8575431.72
2012,2300,RAMO DE GOBERNACION,Gobierno central,,,28275982.65,30551699.58,26855995.63
2012,2303,INSTITUTO SALVADORE¥O DE DESARROLLO MUNICIPAL (ISDEM),Descentralizadas,,,306051065.0,306051065.0,303835755.53
2012,2400,RAMO DE SEGURIDAD PUBLICA Y JUSTICIA,Gobierno central,,,343416782.97,356843216.97,346994346.74
2012,2401,ACADEMIA NACIONAL DE SEGURIDAD PUBLICA   (ANSP),Descentralizadas,,,11335075.0,11283431.0,11146741.15
2012,2402,UNIDAD TECNICA EJECUTIVA DEL SECTOR JUSTICIA  (UTE),Descentralizadas,,,5147945.0,5038544.0,5377932.05
2012,3100,RAMO DE EDUCACION,Gobierno central,,,830660124.65,844132497.99,833256854.84
2012,3105,CAJA MUTUAL DE LOS EMPLEADOS DEL MINISTERIO DE EDUCACION,Descentralizadas,,,7411945.0,7430811.46,6627649.55
2012,3106,INST.SALV. P EL DESARR.INTEG DE LA NIÑEZ Y ADOLESC   (ISNA),Descentralizadas,,,17577070.0,17960886.0,17485990.59
2012,3107,INSTITUTO SALVADOREÑO DE BIENESTAR MAGISTERIAL - ISBM,Descentralizadas,,,64008255.0,65063744.31,59115859.32
2012,3108,CONSEJO NACIONAL DE LA NIÑEZ Y ADOLESCENCIA (CONNA),Descentralizadas,,,3134008.0,2480772.0,1875792.4
2012,3131,UNIVERSIDAD DE EL SALVADOR (UES),Descentralizadas,,,95489259.56,103155646.53,64099036.08
2012,3200,RAMO DE SALUD PUBLICA,Gobierno central,,,531647855.16,540295251.21,505801291.3
2012,3201,HOSPITAL NACIONAL ROSALES,Descentralizadas,,,40719620.0,36990741.0,36945294.52
2012,3202,HOSPITAL NACIONAL BENJAMIN BLOOM,Descentralizadas,,,25046095.0,24330801.0,24321378.97
2012,3203,"HOSPITAL NACIONAL DE MATERNIDAD DR. RAUL ARGUELLO ESCOLAN""",Descentralizadas,,,13650710.0,13329678.0,13329109.64
2012,3204,"HOSPITAL NACIONAL PSIQUIATRICO DR.JOSE MOLINA MARTINEZ""",Descentralizadas,,,10355095.0,9196358.0,9162126.1
2012,3205,"HOSPITAL NACIONAL DE NEUMOLOGIA DR. JOSE ANTONIO ZALDAÑA""",Descentralizadas,,,6880735.0,6746348.0,6725704.92
2012,3206,"HOSPITAL NACIONAL SAN JUAN DE DIOS"",  SANTA ANA""",Descentralizadas,,,19228240.0,18444402.89,18425188.05
2012,3207,"HOSPITAL NACIONAL FRANCISCO MENENDEZ"", AHUACHAPAN""",Descentralizadas,,,6162065.0,6019337.0,6019088.18
2012,3208,"HOSPITAL NACIONALDR.JORGE MAZZINI VILLACORTA"", SONSONATE""",Descentralizadas,,,8730310.0,8541700.0,8412063.04
2012,3209,"HOSPITAL NACIONAL DR.LUIS EDMUNDO VASQUEZ"", CHALATENANGO""",Descentralizadas,,,4672745.0,4357803.0,4351849.67
2012,3210,"HOSPITAL NACIONAL SAN RAFAEL"", SANTA TECLA""",Descentralizadas,,,13081770.0,12525743.0,12432903.88
2012,3211,"HOSPITAL NACIONAL SANTA GERTRUDIS"", SAN VICENTE""",Descentralizadas,,,7940980.0,7277525.0,7031744.76
2012,3212,"HOSPITAL NACIONAL SANTA TERESA"", ZACATECOLUCA""",Descentralizadas,,,7210015.0,6938435.0,6899961.42
2012,3213,"HOSPITAL NACIONAL SAN JUAN DE DIOS"", SAN MIGUEL""",Descentralizadas,,,20193455.0,18620178.0,18575732.92
2012,3214,"HOSPITAL NACIONAL SAN PEDRO"", USULUTAN""",Descentralizadas,,,7367315.0,7188075.0,7178390.11
2012,3215,"HOSPITAL NACIONAL DR.JUAN JOSE FERNANDEZ"", DE ZACAMIL""",Descentralizadas,,,12444370.0,11506385.0,11441498.84
2012,3216,"HOSPITAL NACIONAL ENFERM ANGELICA V NAJARRO"", SAN BARTOLO""",Descentralizadas,,,5402230.0,5047470.0,5037012.69
2012,3217,HOSPITAL NACIONAL DE COJUTEPEQUE,Descentralizadas,,,4560755.0,4569478.0,4565233.46
2012,3218,HOSPITAL NACIONAL DE LA UNION,Descentralizadas,,,2594950.0,2579585.0,2560002.29
2012,3219,HOSPITAL NACIONAL DE ILOBASCO,Descentralizadas,,,3082035.0,2936875.0,2906196.85
2012,3220,HOSPITAL NACIONAL DE NUEVA GUADALUPE,Descentralizadas,,,2915280.0,2829691.0,2829686.48
2012,3221,"HOSPITAL NACIONALMONS OSCAR ARNULFO ROMERO,CIUDAD BARRIOS""",Descentralizadas,,,2411425.0,2263325.0,2262499.12
2012,3222,HOSPITAL NACIONAL DE SENSUNTEPEQUE,Descentralizadas,,,2542765.0,2437345.0,2432173.73
2012,3223,HOSPITAL NACIONAL DE CHALCHUAPA,Descentralizadas,,,3095090.0,2984946.0,2983593.06
2012,3224,HOSPITAL NACIONAL DE METAPAN,Descentralizadas,,,2556780.0,2406840.0,2402492.99
2012,3225,HOSPITAL NACIONAL DE SAN FRANCISCO GOTERA,Descentralizadas,,,3519620.0,3279620.0,3243774.28
2012,3226,HOSPITAL NACIONAL DE SANTA ROSA DE LIMA,Descentralizadas,,,3301885.0,2999425.0,2981156.93
2012,3227,HOSPITAL NACIONAL DE  NUEVA CONCEPCIÓN,Descentralizadas,,,2443530.0,2330395.0,2312365.17
2012,3228,"HOSPITAL NACIONAL DR JORGE ARTURO MENA"", SANTIAGO DE MARIA""",Descentralizadas,,,2962470.0,2795120.0,2754194.09
2012,3229,HOSPITAL NACIONAL DE JIQUILISCO,Descentralizadas,,,2790005.0,2638675.0,2634723.86
2012,3230,HOSPITAL NACIONAL DE SUCHITOTO,Descentralizadas,,,1636585.0,1564585.0,1555853.0
2012,3231,CONSEJO SUPERIOR DE SALUD PUBLICA  (CSSP),Descentralizadas,,,2838700.0,3223063.88,2495346.33
2012,3232,INSTITUTO SALVADORE¥O DE REHABILITACION DE INVALIDOS (ISRI),Descentralizadas,,,9821785.0,9967911.0,9959782.57
2012,3233,"HOGAR DE ANCIANOS NARCISA CASTILLO"", SANTA ANA""",Descentralizadas,,,405810.0,405810.0,405798.37
2012,3234,CRUZ ROJA SALVADORE¥A,Descentralizadas,,,2702240.0,2723609.0,2722731.48
2012,3235,FONDO SOLIDARIO PARA LA SALUD (FOSALUD),Descentralizadas,,,38849181.0,38876362.0,31532068.15
2012,3266,DIRECCION NACIONAL DE MEDICAMENTOS (DNM),Descentralizadas,,,2406000.0,2406000.0,1749818.02
2012,3300,RAMO DE TRABAJO Y PREVISION SOCIAL,Gobierno central,,,13564884.0,13432048.0,13210269.94
2012,3301,INSTITUTO SALVADOREÑO DE FOMENTO COOPERATIVO (INSAFOCOOP),Descentralizadas,,,1320600.0,1311220.0,1294322.45
2012,3302,INSTITUTO SALV. DE FORMACION PROFESIONAL (INSAFORP),Descentralizadas,,,24369000.0,25613500.0,19322456.81
2012,3303,INSTITUTO SALVADORE¥O DEL SEGURO SOCIAL (ISSS),Descentralizadas,,,630508100.0,630508100.0,608149627.99
2012,3304,FDO PROTEC LISIADOS Y DISCAP.A CONSEC.DELCONFLICTO ARMADO,Descentralizadas,,,32391165.0,37318629.39,37271538.65
2012,4100,RAMO DE ECONOMIA,Gobierno central,,,95908344.0,178282112.0,175850558.7
2012,4101,CENTRO INTERNACIONAL DE FERIAS Y CONVENCIONES D E.S.- CIFCES,Descentralizadas,,,3474130.0,3474130.0,3001119.93
2012,4102,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA (CONACYT),Descentralizadas,,,711025.0,655025.0,568288.65
2012,4105,CONSEJO SALVADORE¥O DEL CAFE (CSC),Descentralizadas,,,1871875.0,1831875.0,1634173.06
2012,4106,COMISION EJECUTIVA HIDROELECTRICA DEL RIO LEMPA  (CEL),Descentralizadas,,,215551640.0,504928650.38,486753187.73
2012,4109,SUPERINTENDENCIA GRAL.DE ELECT. Y TELECOMUNICACIONES (SIGET),Descentralizadas,,,12273325.0,12273325.0,9207328.43
2012,4112,CORPORACION SALVADORE¥A DE INVERSIONES  (CORSAIN),Descentralizadas,,,7040372.0,7559673.0,3295723.85
2012,4114,CENTRO NACIONAL DE REGISTROS   (CNR),Descentralizadas,,,51945195.0,51945195.0,41284857.89
2012,4115,FONDO DE INVERSION NAC. EN ELECTRICIDAD Y TELEFONIA (FINET),Descentralizadas,,,1700100.0,177129376.27,175105248.92
2012,4116,CONSEJO SALV. DE LA AGROINDUSTRIA AZUCARERA (CONSAA),Descentralizadas,,,922850.0,922850.0,618391.13
2012,4117,SUPERINTENDENCIA DE COMPETENCIA  (SC),Descentralizadas,,,2040516.79,2199985.66,2031562.72
2012,4118,DEFENSORIA DEL CONSUMIDOR (DC),Descentralizadas,,,5657470.0,6786408.0,6706287.69
2012,4119,Consejo Nacional de Energía,Descentralizadas,,,1892330.0,1742330.0,1597789.39
2012,4120,CONSEJO NACIONAL DE CALIDAD (CNC),Descentralizadas,,,1632870.0,1632870.0,167928.38
2012,4133,CONSEJO DE VIGILANCIA LA PROF. CONTAD.PUBLICA Y AUD (CVPCPA),Descentralizadas,,,294955.0,294955.0,247314.97
2012,4147,FONDO DE EMERGENCIA PARA EL CAFE (FEC),Descentralizadas,,,5495371.0,6495371.0,6382904.31
2012,4154,COMISION NACIONAL DE LA MICRO Y PEQUEÑA EMPRESA (CONAMYPE),Descentralizadas,,,1825000.0,5073091.84,3926137.18
2012,4200,RAMO DE AGRICULTURA Y GANADERIA,Gobierno central,,,79111837.17,87001065.49,79680585.75
2012,4202,CENTRO NAC. DE TECNOLOGIA AGROPECUARIA Y FORESTAL (CENTA),Descentralizadas,,,11037622.0,11165622.0,9879213.28
2012,4203,ESCUELA NACIONAL DE AGRICULTURA (ENA),Descentralizadas,,,2765505.0,3110222.0,3050292.88
2012,4231,INSTITUTO SALVADORE¥O DE TRANSFORMACION AGRARIA (ISTA),Descentralizadas,,,9367397.0,9367397.0,13784884.5
2012,4300,"RAMO DE OBRAS PUBLICAS, TRANSPORTE y VIVIENDA Y DESARR URB",Gobierno central,,,252411522.96,318265764.2,279238318.18
2012,4301,ADMINISTRACION NAC. DE ACUEDUCTOS Y ALCANTARILLADOS (ANDA),Descentralizadas,,,197076072.13,221558477.0,187372750.37
2012,4302,FONDO SOCIAL PARA LA VIVIENDA (FSV),Descentralizadas,,,159336995.0,159336995.0,126147171.72
2012,4303,COMISION EJECUTIVA PORTUARIA AUTONOMA (CEPA),Descentralizadas,,,82303395.0,82303395.0,79463067.62
2012,4304,AUTORIDAD DE AVIACION CIVIL (AAC),Descentralizadas,,,2422865.0,2422865.0,2330554.67
2012,4305,FONDO NACIONAL DE VIVIENDA POPULAR  (FONAVIPO),Descentralizadas,,,110754590.84,103911248.7,92879442.97
2012,4306,FONDO DE CONSERVACION VIAL (FOVIAL),Descentralizadas,,,69596075.0,92329116.35,78544252.92
2012,4307,AUTORIDAD MARITIMA PORTUARIA (AMP),Descentralizadas,,,2405200.0,2405200.0,2028939.99
2012,4400,RAMO DE MEDIO AMBIENTE Y RECURSOS NATURALES,Gobierno central,,,12721999.79,15675128.79,14557753.36
2012,4401,FONDO AMBIENTAL DE EL SALVADOR (FONAES),Descentralizadas,,,553423.0,1648480.12,1433792.88
2012,4600,RAMO DE TURISMO,Gobierno central,,,16988035.0,16544361.31,15868618.03
2012,4601,INSTITUTO SALVADOREÑO DE TURISMO  (ISTU),Descentralizadas,,,4793840.0,4838794.0,4821168.91
2012,4602,CORPORACION SALVADOREÑA DE TURISMO  (CORSATUR),Descentralizadas,,,13064200.0,13001967.0,12440214.25
2012,5101,OBLIGACIONES Y TRANSFERENCIAS GENERALES DEL ESTADO,Descentralizadas,,,601222665.0,624493724.0,598125639.89
2012,5201,DIRECCION GENERAL DE CREDITO PUBLICO,Descentralizadas,,,705654140.0,742250410.0,742119057.03
2013,0100,ASAMBLEA LEGISLATIVA,Gobierno central,,,57856280.0,57856280.0,57483632.46
2013,0200,CORTE DE CUENTAS DE LA REPUBLICA,Gobierno central,,,36900000.0,36900000.0,36408209.48
2013,0300,TRIBUNAL SUPREMO ELECTORAL,Gobierno central,,,41673180.0,41846755.0,17361305.04
2013,0301,REGISTRO NACIONAL DE LAS PERSONAS NATURALES  (RNPN),Descentralizadas,,,12200965.0,13673263.0,13111943.69
2013,0400,TRIBUNAL DE SERVICIO CIVIL,Gobierno central,,,848270.0,848270.0,740227.05
2013,0500,PRESIDENCIA DE LA REPUBLICA,Gobierno central,,,128154928.89,170122311.43,163870783.96
2013,0501,INSTITUTO NACIONAL DE LOS DEPORTES DE EL SALVADOR (INDES),Descentralizadas,,,12198205.0,12921548.0,12861070.83
2013,0504,INSTITUTO SALVADORE¥O P EL DESARROLLO DE LA MUJER (ISDEMU),Descentralizadas,,,5535512.78,5535512.78,5321359.46
2013,0535,FONDO DE INV.SOCIAL P EL DESARROLLO LOCAL DE E.S.(FISDL),Descentralizadas,,,111252250.0,143087652.5,114734387.37
2013,0537,FONDO SOLIDARIO P  LA FAMILIA MICROEMPRESARIA (FOSOFAMILIA),Descentralizadas,,,5188493.61,4036146.61,3695001.65
2013,0551,COMISION NAC DE PROMOCION DE EXPORT E INVERSIONES (CONADEI),Descentralizadas,,,7305426.0,6038476.0,3627956.07
2013,0600,TRIBUNAL DE ÉTICA GUBERNAMENTAL,Gobierno central,,,2323750.0,2157587.0,1970011.98
2013,0650,INSTITUTO DE ACCESO A LA INFORMACION PUBLICA (IAIP),Descentralizadas,,,0.0,937920.0,567852.18
2013,0700,RAMO DE HACIENDA,Gobierno central,,,79115682.49,81594828.49,74734406.52
2013,0701,LOTERIA NACIONAL DE BENEFICENCIA  (LNB),Descentralizadas,,,47345500.0,47345500.0,40580816.61
2013,0702,INSTITUTO NAC.DE PENSIONES DE LOS EMPLEADOS PUBLICOS (INPEP),Descentralizadas,,,254240710.0,254240710.0,250870538.52
2013,0704,FONDO SALVADORE¥O PARA ESTUDIOS DE PREINVERSION (FOSEP),Descentralizadas,,,11080640.0,11080640.0,4850738.85
2013,0800,MINSTERIO DE RELACIONES EXTERIORES,Gobierno central,,,44878188.13,45219240.13,45908274.99
2013,0900,RAMO DE LA DEFENSA NACIONAL,Gobierno central,,,160901730.0,171852730.0,169227248.12
2013,0901,INSTITUTO DE PREVISION SOCIAL DE LA FUERZA ARMADA (IPSFA),Descentralizadas,,,144006056.0,144006056.0,110107710.16
2013,0902,CENTRO FARMACEUTICO DE LA FUERZA ARMADA (CEFAFA),Descentralizadas,,,19991200.0,19991200.0,11534795.27
2013,1500,CONSEJO NACIONAL DE LA JUDICATURA,Gobierno central,,,5914600.0,5913124.0,5835566.43
2013,1600,CORTE SUPREMA DE JUSTICIA,Gobierno central,,,244386468.0,242159111.86,216438194.58
2013,1601,CAJA MUTUAL DEL ABOGADO DE EL SALVADOR (CAMUDASAL),Descentralizadas,,,1588750.0,1634926.92,1327707.01
2013,1700,FISCALIA GENERAL DE LA REPUBLICA,Gobierno central,,,39213626.1,46651428.4,45204283.59
2013,1800,PROCURADURIA GENERAL DE LA REPUBLICA,Gobierno central,,,21200000.0,21721320.0,21720090.75
2013,1900,PROCURADURIA PARA LA DEFENSA DE LOS DERECHOS HUMANOS,Gobierno central,,,8935150.0,8935150.0,8627607.36
2013,2300,RAMO DE GOBERNACION,Gobierno central,,,29777075.0,29779075.0,27489094.02
2013,2303,INSTITUTO SALVADORE¥O DE DESARROLLO MUNICIPAL (ISDEM),Descentralizadas,,,308416065.0,308416065.0,307997011.56
2013,2400,RAMO DE SEGURIDAD PUBLICA Y JUSTICIA,Gobierno central,,,369689119.5,388330624.89,383700670.5
2013,2401,ACADEMIA NACIONAL DE SEGURIDAD PUBLICA   (ANSP),Descentralizadas,,,12142505.0,11575519.0,11254647.09
2013,2402,UNIDAD TECNICA EJECUTIVA DEL SECTOR JUSTICIA  (UTE),Descentralizadas,,,4884439.63,4835368.63,5169276.42
2013,3100,RAMO DE EDUCACION,Gobierno central,,,869788261.87,874443175.75,865757556.45
2013,3105,CAJA MUTUAL DE LOS EMPLEADOS DEL MINISTERIO DE EDUCACION,Descentralizadas,,,8130270.0,8224270.0,6729210.91
2013,3106,INST.SALV. P EL DESARR.INTEG DE LA NIÑEZ Y ADOLESC   (ISNA),Descentralizadas,,,18399695.0,18399695.0,17803591.43
2013,3107,INSTITUTO SALVADOREÑO DE BIENESTAR MAGISTERIAL - ISBM,Descentralizadas,,,52392415.0,60183083.11,54879724.13
2013,3108,CONSEJO NACIONAL DE LA NIÑEZ Y ADOLESCENCIA (CONNA),Descentralizadas,,,6478865.0,5104382.0,4399569.71
2013,3131,UNIVERSIDAD DE EL SALVADOR (UES),Descentralizadas,,,95169680.46,110245519.66,82989031.83
