Institución,Código del proceso/Tipo,Nombre del proceso,Inscripción,Fecha de Convocatoria,Tipo Cotización
Ministerio de la Defensa Nacional (MDN),20200073  Libre gestión,"ADQUISICIÓN DE NUEVE MIL (9,000) GALONES DE COMBUSTIBLE AV-JET A1. LOS CUALES SERÁN UTILIZADOS EN LOS MEDIOS AÉREOS PARA APOYAR LA EMERGENCIA NACIONAL POR COVID-19.",Vigente,19/04/2020,Presencial
Ministerio de Salud (MINSAL),20200116  Libre gestión,SCLG.116-2020,Vigente,15/04/2020,Presencial
Ministerio de Salud (MINSAL),20200118  Libre gestión,ADQUISICIÓN DE MATERIALES E INSUMOS INFORMATICOS CON FUENTE DE FINANCIAMIENTO: DONACIONES ¿ PROYECTO FONDO GLOBAL COMPONENTE VIH/SIDA/SSF/NMF F2,Vigente,14/04/2020,Presencial
Ministerio de Salud (MINSAL),20200115  Libre gestión,SCLG.100-2020 ADQUISICIÓN DE BOCINAS IP,Vigente,14/04/2020,Presencial
Ministerio de Salud (MINSAL),20200117  Libre gestión,ADQUISICIÓN DE EQUIPO COMPLETO PARA PERIFONEO CON FUENTE DE FINANCIAMIENTO: FONDOS FAE,Vigente,13/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200524  Libre gestión,300 PRUEBA RÁPIDA LA DETECCIÓN  DE ANTICERPOS CONTRA COVID-19. FAVOR VERIFICAR EN EL DOCUMENTO ADJUNTO LOS REQUISITOS Y OBSERVACIONES.,Vigente,10/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200528  Libre gestión,"5,000 BOLSAS PLÁSTICAS COLOR ROJO MEDIDA 31 X 42"". ENTREGA: UNA SOLA ENTREGA INMEDIATA",Vigente,10/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200527  Libre gestión,1.CENTRIFUGA PARA BANCO DE SANGRE TIPO SERO FUGE. REQUISITOS: 1.	CAPACIDAD DE 12 A 24 TUBOS DE 16 POR 100 mm CON ADAPTADORES PARA TUBO 12 POR 75 mm 2.	110 VOLTIOS 3.	60 HERTZ 4.	RANGO DE VELOCIDAD 2400 A 3400 5.	TIMER DIGITAL DESDE 1 SEG A 1 HORA OBSERVACIONES: EQUIPO NECESARIOS PARA EL DESARROLLO DE LA TÉCNICA DE RECOLECCIÓN DE PLASMA CONVALECIENTE DE COVID-19.,Vigente,10/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200526  Libre gestión,"REQUISITOS: 1.	VOLUMEN DE 300 A 350 LITROS 2.	RANGO DE TEMPERATURA -20 A -32 GRADOS CENTIGRADOS 3.	REFRIGERANTE R290 4.	VOLTAJE 110-120 VOLTIOS 5.	FRECUENCIA DE 60 HZ 6.	AISLAMIENTO DE POLIURETANO 7.	SISTEMA DE REFRIGERACION SIN ESCARCHA 8.	CON 5 BANDEJAS Y RUEDAS 9.	ALARMAS AUDIBLES DE TEMPERATURA, PUERTAS ABIERTAS Y FALLO DE RED OBSERVACIONES: EQUIPO NECESARIOS PARA CONGELADOR LOS PLASMAS DE PACIENTES RECUPERADOS DE COVID-19",Vigente,10/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200525  Libre gestión,"150 DESCARTABLE, EXCLUSIVO PARA RECOLECCIÓN DE PLASMA QUE COLECTE DE 2 A 3 UNIDADES CON UN VOLUMEN FINAL DE 600 A 1000 ML, CON ANTICOAGULANTES ACD, VOLUMEN SANGUINEO EXTRA CORPOREO DE 250 MILILITROS, CON SITIO DE TOMA DE MUESTRA, AGUJA REMOVIBLE CALIBRE 16 G X 1 PULGADA, CON SITIO DE CONEXIÓN DE ANTICOAGULANTE Y SOLUCIONES DE REEMPLAZO QUE CONTENGA FILTRO BACTERIOLÓGICO. FAVOR VERIFICAR EN EL DOCUMENTO ADJUNTO LOS REQUISITOS SOLICITADOS PARA DICHO REQUERIMIENTO.",Vigente,10/04/2020,Presencial
Policía Nacional Civil (PNC),20200089  Libre gestión,"1 SUMINISTRO E INSTALACION ELECTRICA Y MECANICA DE AIRE ACONDICIONADO DE 36,000BTU ¿	Tipo inverter, a base de gas, refrigerante ecológico, R410, con SEER minimo de 16, que incluya trabajos de electricidad, obra mecánica, y albañilería. ¿	NOTA IMPORTANTE: VISITA DE CAMPO EL DIA MARTES 14 ABRIL 2020 A LAS 9 A.M DIRECCION A LA VISITA: Boulevard Venezuela Colonia Coro Nuevo y Final Venida Peralta, Frente ANDA, Edificios EX MOP /PNC, Plantel B. 	Fecha límite de recepción de oferta: 16/04/2020",Vigente,10/04/2020,Presencial
"Hospital Nacional ""Dr. Héctor Antonio Hernández Flores"", San Francisco Gotera, Morazán",20200031  Libre gestión,ACCESORIOS Y PRODUCTOS QUIMICOS,Vigente,10/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200523  Libre gestión,ESTUCHES SELLANTES Y EYECTORES OTROS PRODUCTOS DE ODONTOLOGIA,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200520  Libre gestión,CABLE INTERMEDIO DE SATURACION COMPATIBLE CON MONITOR Y OTROS,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200517  Libre gestión,ELECTRODO DE MONITOREO CARDIORESPIRATORIO AUTOADHESIBLE TAMAÑO NEONATAL Y OTROS,Vigente,09/04/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200513  Libre gestión,TUBO PLASTICOS AL VACIO 13 X 75 MILIMETYROS CON ACIDO EDTA K2 0 K3 TAPON MORADO,Vigente,09/04/2020,Presencial
