Institución,Tipo/Código del proceso,Nombre del proceso,Resultado,Monto,Fecha Resultado
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200105,COMPRA DE PRODUCTOS DE USO PERSONAL PARA SER ENTREGADOS A PERSONAL AFILIADO QUE SE ENCUENTRAN EN CUARENTENA DEBIDO AL COVID19.,Adjudicada,"$4,061.22",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200088,"SUMINISTRO DE: ESTROBOS, MEDIDOR DE AISLAMIENTO (MEGAHOMETRO) Y RELE PROTECTOR PARA MOTOR ELECTRICOS; PARA USO EN PLANTA POTABILIZADORA LAS PAVAS",Adjudicada,"$18,529.74",23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200035,MASCARILLA DE AMARRAR,Adjudicada,$933.60,23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200033,ALCOHOL ETILICO 70%-1 GL-1gl,Adjudicada,$515.28,23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200034,MASCARILLA DE AMARRAR DESECHABLE,Adjudicada,$746.79,23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200032,"ADQUISICION DE MASCARILLAS, ALCOHOL GEL",Adjudicada,$515.28,23/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200167,5 unidad radio portatil. Especificaciones: radios port¿tiles (de mano) vhf anal¿gico/digital,Adjudicada,"$4,009.50",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200047,SUMINISTRO DE REACTIVOS QUÍMICOS PARA EL LABORATORIO DE CALIDAD. SE ADJUNTAN ESPECIFICACIONES TÉCNICAS E INVITACIÓN.,Adjudicada,"$14,085.80",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200075,"SUMINISTRO DE BOMBA TIPO TURBINA VERTICAL, PARA POZO1 DE LA ESTACIÓN DE BOMBEO EL ARCO, MUNICIPIO DE TECOLUCA, DEPARTAMENTO DE SAN VICENTE. SE ADJUNTAN ESPECIFICACIONES TÉCNICAS E INVITACIÓN.",Adjudicada,"$4,633.00",23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200031,EQUIPO Y MATERIALES DE PROTECCIÓN PERSONAL,Adjudicada,"$3,963.86",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200071,"SUMINISTRO E INSTALACIÓN DE MOTOR ELÉCTRICO Y VÁLVULA CHECK TIPO SUMERGIBLE PARA EL EQUIPO DE BOMBEO DEL POZO No. 2 DE LA ESTACIÓN DE BOMBEO EL MILAGRO, MUNICIPIO DE SAN MARCOS, DEPTO. DE SAN SALVADOR. SE ADJUNTAN ESPECIFICACIONES TÉCNICAS E INVITACIÓN.",Adjudicada,"$3,793.41",23/04/2020
Instituto Salvadoreño del Seguro Social (ISSS),Libre gestión 20200041,ADQUISICIÓN DE MOTOCICLETAS TIPO TURISMO PARA VARIAS DEPENDENCIAS DEL ISSS,Adjudicada,"$23,375.10",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200065,"LIBRE GESTION N°79/2019, DENOMINADO ""SUMINISTRO DE EQUIPOS INFORMATICOS PARA LA GERENCIA COMERCIAL, DEPARTAMENTO DE ATENCIÓN AL CLIENTE Y OPERACIONES COMERCIALES DE LA REGIÓN METROPOLITANA"". SE ADJUNTAN LAS ESPECIFICACIONES TECNICAS",Adjudicada,"$52,938.24",23/04/2020
Ministerio de Justicia y Seguridad Pública,Libre gestión 20200113,"SERVICIO DE LIMPIEZA DE FOSA SEPTICA DE 2500 LITROS DE CAPACIDAD, UBICADA EN LOS DORMITORIOS DEL PERSONAL DE MIGRACION, EN FRONTERA EL AMATILLO, LA UNION",Adjudicada,$330.00,23/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200321,"21.51 servicios de colocaci¿n de concreto de segunda etapa en descargador. Especificaciones: escarificado en superficie de concreto de descargador de fondo , 520 servicios de colocaci¿n de concreto de segunda etapa en descargador. Especificaciones: instalacion de anclajes ep¿xicado acero ¿ g-60 (4200 kg/cm¿) astm a706, 1331 servicios de colocaci¿n de concreto de segunda etapa en descargador. Especificaciones: suministro e instalacion de acero de refuerzo g-60 (4200 kg/cm¿) astm a706, 60.4 servicios de colocaci¿n de concreto de segunda etapa en descargador. Especificaciones: aplicacion de puente adherente, 53.59 servicios de colocaci¿n de concreto de segunda etapa en descargador. Especificaciones: fabricaci¿n, instalaci¿n y desmontaje de encofrado, se debe de incluir la limpieza de la superficie actual a encofrar, 14.22 servicios de colocaci¿n de concreto de segunda etapa en descargador. Especificaciones: suministro y colocaci¿n de grout de 2¿ etapa, con gravilla tama¿o m¿ximo de 10 a 12 mm, en un 40% del peso del grout.",Adjudicada,"$47,518.50",23/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200076,"LIBRE GESTION N°93/2020, DENOMINADO ""SERVICIO DE PODA Y BRECHA EN LÍNEAS DE DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA DE MEDIA TENSIÓN 4.16 KV, 23 KV, Y 46 KV, PROPIEDAD DE ANDA, A NIVEL NACIONAL, AÑO 2020¿. SE ADJUNTAN LAS ESPECIFICACIONES TECNICAS",Adjudicada,"$56,409.60",23/04/2020
Centro Nacional de Registros (CNR),Libre gestión 20200060,Clavos topográficos,Adjudicada,$158.24,23/04/2020
Unidad Técnica Ejecutiva del Sector Justicia (UTE),Libre gestión 20200036,COMPRA DE MEDICAMENTOS,Adjudicada,"$2,614.95",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200070,"SUMINISTRO DE PERNOS DE TUBERÍAS DE COLUMNA, PARA EL MANTENIMIENTO DE EQUIPOS DE BOMBEO DE BOCATOMA EB-1, EB-2 Y EB-3 DE LA PLANTA POTABILIZADORAS LAS PAVAS (TERCER PROCESO).",Adjudicada,"$10,542.90",23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200030,LOCAL PARA CELEBRACION DE AUDIENCIA PUBLICA PREVIA A LA APROBACIÓN DE TARIFAS PORTUARIAS,Adjudicada,$303.62,23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200052,"SUMINISTRO DE CENTRO DE LAVADO (LAVADORA Y SECADORA) PARA USO DE LAS CLÍNICAS EMPRESARIALES Y ODONTOLOGICAS, (TERCERA CONVOCATORIA)",Adjudicada,"$1,356.00",23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200028,SUMINISTRO E INSTALACIÓN DE 3 DEFENSAS DELANTERAS Y TRASERAS PARA VEHICULOS,Adjudicada,"$1,000.00",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200092,"SUMINISTRO DE BARRA DE SONIDO DE VIDEOCONFERENCIA USB, PARA LA GERENCIA COMERCIAL",Adjudicada,"$1,107.40",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200091,"ADQUISICIÓN DE DOS (2) JUEGOS DE HULES PARA PISTÓN Y RECTIFICADO DE 2 CAMISAS, PARA LA MÁQUINA PERFORADORA TOP 750",Adjudicada,$926.60,23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200021,LIMPIEZA DE FOSA SÉPTICA,Adjudicada,$250.00,23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200096,"SUMINISTRO DE IMPRESOR MULTIFUNCIONAL, PARA ATENDER LOS REQUERIMIENTOS DE IMPRESIÓN DE FORMULARIOS QUE SOLICITAN LAS DIFERENTES UNIDADES DE LA INSTITUCIÓN",Adjudicada,"$10,850.26",23/04/2020
Centro Farmacéutico de la Fuerza Armada (CEFAFA),Libre gestión 20200075,"Suministro, Instalación y Puesta en Marcha de Termómetros Infrarrojos Digitales para el COSAM, para la Atención a Pacientes con Sospechas de COVID-19",Adjudicada,"$1,800.00",23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200027,SEGURO DE VEHICULO,Adjudicada,"$1,676.42",23/04/2020
Instituto Salvadoreño del Seguro Social (ISSS),Libre gestión 20200064,REMODELACIÓN DEL ÁREA DE CISTOSCOPIA DEL CONSULTORIO DE ESPECIALIDADES,Adjudicada,"$9,461.00",23/04/2020
Autoridad Marítima Portuaria (AMP),Libre gestión 20200001,"SERVICIO DE HOSTING PARA SITIO WEB, CORREO ELECTRÓNICO, SISTEMAS WEB Y BASES DE DATOSAÑO 2020",Adjudicada,"$5,650.00",23/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200055,"SUMINISTRO DE UNIFORMES FEMENINO PARA PERSONAL DE SERVICIO DE ANDA, AÑO 2020. SE ADJUNTAN ESPECIFICACIONES TÉCNICAS E INVITACIÓN.",Adjudicada,"$6,090.70",23/04/2020
"Hospital Nacional ""Dr. Héctor Antonio Hernández Flores"", San Francisco Gotera, Morazán",Libre gestión 20200001,OXIGENO Y GASES MEDICINALES,Adjudicada,"$12,655.25",23/04/2020
Administración Nacional de Acueductos y Alcantarillados (ANDA),Libre gestión 20200057,"LIBRE GESTION N°76/2020, DENOMINADO ""SERVICIO DE ANÁLISIS DE MICROBIOLOGÍA Y FÍSICO QUÍMICO DE AGUA ENVASADA, PARA CUMPLIR CON LA NORMATIVA DE AGUA ENVASADA QUE SON EXIGIDOS POR EL MINISTERIO DE SALUD"". SE ADJUNTAN LOS TERMINOS DE REFERENCIA",Adjudicada,"$3,011.03",23/04/2020
Instituto Salvadoreño de Desarrollo Municipal (ISDEM),Libre gestión 20200020,ADQUISICION DE EQUIPO Y LICENCIA DE SEGURIDAD (FIREWALL),Adjudicada,"$4,445.44",23/04/2020
