ID;BD_OBJETO_PRES
11;IMPUESTOS                                                                                           
111;Impuesto sobre la Renta                                                                             
11101;De Personas Naturales Asalariadas                                                                   
11102;De Personas Naturales no Asalariadas                                                                
11103;De Personas Jurídicas                                                                               
11104;Por Retenciones a Personal Naturales y Juridicas                                                    
112;Impuesto Sobre Tranferencia de Bienes Raices                                                        
11201;De Transferencias de Bienes Raíces                                                                  
113;Impuesto sobre el Comercio Exterior                                                                 
11301;Aranceles a la Importación                                                                          
114;Imp. a la Transf. de B. Muebles y a la Prestación de Serv.                                          
11401;Sobre Transacciones Internas                                                                        
11402;Sobre Transacciones con el Exterior                                                                 
11403;Sobre Transacciones Internas vía Retención y Percepción                                             
11404;Sobre Trans. Via Reten. Terceros Domiciliados
11405;Sobre Trans. Via Recep. Tarjetas de Crédito
115;Impuesto a Productos Específicos                                                                    
11501;Sobre Alcohol y Bebidas Alcohólicas                                                                 
11502;Sobre Cerveza                                                                                       
11503;Sobre Cigarrillos                                                                                   
11504;Sobre Bebidas Gaseosas                                                                              
11505;Sobre Gasolina                                                                                      
11506;Contribución Especial sobre Diesel y Gasolina
11507;Sobre Armas de Fuego, Municiones, Explosivos y Artículos Similares                                  
11508;Específico sobre Bebidas Energizantes o Estimulantes                                                
11509;Ad-valorem sobre Alcohol y Bebidas Alcohólicas                                                      
11510;Ad-valorem sobre Cerveza                                                                            
11511;Ad-valorem sobre Productos de Tabaco                                                                
11512;Ad-valorem s/ Bebidad Carbonat. o Gaseosas Simples Endulzad.                                        
11513;Ad-valorem sobre Bebidas Energizantes o Estimulantes                                                
11514;Ad-valorem s/ Beb. Isot. o Dep., Fort.,Jug.,Nect.,Beb.c/Jug                                         
11515;Ad-valorem sobre Combustibles                                                                       
11516;Ad-valorem s/ Armas de Fuego,Munici. Explos. y Art. Similare                                        
11517;Específico sobre Alcohol Etílico Potable                                                            
11597;Productos Pirotécnicos.
11598;Contribución del Azúcar.
116;Impuestos Diversos                                                                                  
11601;De Migración y Turismo                                                                              
11602;Sobre Llamadas Telefónicas Provenientes del Exterior                                                
11603;Imp. Espec. a la Primera Matric. de Bienes en el Territ. Nac                                        
11604;Impuesto a las Operaciones Financieras                                                              
11605;Por Retenciones del impuesto a las Operaciones Financieras para el control de Liquidez              
118;Impuestos Municipales                                                                               
11801;De Comercio                                                                                         
11802;De Industria                                                                                        
11803;Financieros                                                                                         
11804;De Servicios                                                                                        
11899;Impuestos Municipales Diversos                                                                      
119;Anticipo de Impuesto sobre la Renta                                                                 
11901;Sobre la Renta de Personas Naturales Asalariadas                                                    
11902;(-) Aplicación  Impto Sobre la Rta de Pers Nat  Asalariadas                                         
11903;Sobre la Renta de Personas Naturales no Asalariadas                                                 
11904;(-) Aplicación Imp sobre la Renta de Pers Nat no Asalariadas                                        
11905;Sobre la Renta de Personas Jurídicas                                                                
11906;(-) Aplicación Imp sobre la Renta de Personas Jurídicas                                             
11907;Sobre la Renta de Personas Naturales                                                                
11908;(-) Aplicación Impuesto sobre la Renta de Personas Naturales                                        
12;TASAS Y DERECHOS                                                                                    
121;Tasas                                                                                               
12101;Por Uso de Infraestructura Aeroportuaria                                                            
12102;Por Uso de Centros Destinados a Almacenajes                                                         
12103;Por Intermediación o Superv en la Internación de Bnes y Serv                                        
12104;Por Servicios de Asistencia Técnica y Uso de Laboratorios                                           
12105;Por Servicios de Certificación o Visado de Documentos                                               
12106;Por Expedición de Documentos de Identificación                                                      
12107;Por Acceso a Lugares Públicos                                                                       
12108;Tasa por la Prestación de Servicios de Inspección No Intrusi                                        
12199;Tasas Diversas                                                                                      
122;Derechos                                                                                            
12201;Por Registro de Comercio                                                                            
12202;Por Inscripción en el Registro de Bienes  Raices e Hipotecas                                        
12203;Por Permisos y Matrículas de Armas                                                                  
12204;Por Exámen y Matrícula de Estudiantes                                                               
12205;Por Permisos de Circulación de Vehículos                                                            
12206;Por Licencias Para Conducir o Similares                                                             
12207;Por Patentes, Marcas de Fábrica y Otros                                                             
12208;Por Regalías                                                                                        
12209;Consulares                                                                                          
12210;Venta de Placas.
12299;Derechos Diversos                                                                                   
13;CONTRIBUCIONES A LA SEGURIDAD SOCIAL                                                                
131;Del Sector Privado                                                                                  
13101;Contribuciones Patronales                                                                           
13102;Contribuciones Laborales                                                                            
132;Del Sector Público                                                                                  
13201;Contribuciones Patronales                                                                           
13202;Contribuciones Laborales                                                                            
13203;Contribuciones Estatales                                                                            
14;VENTA DE BIENES Y SERVICIOS                                                                         
141;Venta de Bienes                                                                                     
14101;Venta de Bienes Comerciales                                                                         
14102;Venta de Bienes Industriales                                                                        
14199;Ventas de Bienes Diversos                                                                           
142;Ingresos por Prestación de Servicios Públicos                                                       
14201;Servicios Básicos                                                                                   
14202;Servicios de Educación y Salud                                                                      
14203;Servicios Turísticos y Ecológicos                                                                   
14204;Servicios de Transportes y Correos                                                                  
14205;Servicios Portuarios                                                                                
14206;Servicios Aeroportuarios                                                                            
14207;Servicios Ferroviarios                                                                              
14208;Servicios de Fiscalización                                                                          
14209;Servicios Municipales                                                                               
14210;Servicios Aduaneros en Jornadas Extraordinarias                                                     
14211;Servicios Aduaneros por Incremento de Personal                                                      
14297;Por extensión de DUI en el Exterior.
14298;Por Extensión de Documento Único de Identidad
14299;Servicios Diversos                                                                                  
143;Ventas de Desechos y Residuos                                                                       
14301;De Bienes Comerciales                                                                               
14302;De Bienes Industriales                                                                              
14399;De Bienes Diversos                                                                                  
149;Débito Fiscal                                                                                       
14901;Débito Fiscal                                                                                       
15;INGRESOS FINANCIEROS Y OTROS                                                                        
151;Rendimientos de Títulos y Valores                                                                   
15101;Rentabilidad Financiera de Bonos                                                                    
15102;Rentabilidad Financiera de Letras del Tesoro                                                        
15104;Rentabilidad de Cédulas Hipotecarias                                                                
15105;Rentabilidad de Depósitos a Plazos                                                                  
15106;Dividendos de Acciones                                                                              
15107;Dividendos de Participación de Capital                                                              
15108;Rentabilidad de Inversiones en el Exterior                                                          
15109;Dividendos de Inversiones en el Exterior                                                            
15199;Otras Rentabilidades Financieras                                                                    
152;Intereses por Préstamos                                                                             
15201;Al Gobierno Central                                                                                 
15202;A Instituciones Descentralizadas no Empresariales                                                   
15203;A Empresas Públicas no Financieras                                                                  
15204;A Empresas Públicas Financieras                                                                     
15205;A Instituciones de Seguridad Social                                                                 
15206;A Municipalidades                                                                                   
15207;A Empresas Privadas no Financieras                                                                  
15208;A Empresas Privadas Financieras                                                                     
15209;A Orgnismos sin Fines de Lucro                                                                      
15210;A Personas Naturales                                                                                
153;Multas e Intereses por Mora                                                                         
15301;Multas por Mora de Impuestos                                                                        
15302;Intereses por Mora de Impuestos                                                                     
15303;Multas por Mora de Seguridad Social                                                                 
15304;Intereses por Mora de Seguridad Social                                                              
15305;Intereses por Mora en Amortización de Préstamos                                                     
15306;Multas por Infracciones de Tránsito                                                                 
15307;Intereses por Mora en Infracciones de Tránsito                                                      
15308;Multas IVA Trans. Interna.
15309;Multas IVA Trans. Con el Exterior.
15310;Multas IVA Trans. Percep.
15311;Multas IVA Reten. Terceros Domic.
15312;Multas IVA Percep. Tarjetas Crédito.
15313;Multas Anticipo Renta Nat. Asal.
15314;Multas Anticipo Renta Nat. No Asal.
15315;Multas Anticipo Renta Persona Jurídica.
15316;Multas Anticipo Renta Personas Naturales
15399;Multas e Intereses Diversos                                                                         
154;Arrendamientos de Bienes                                                                            
