location,location_name
101,"Ahuachapán"
102,Apaneca
103,Atiquizaya
104,"Concepción de Ataco"
105,"El Refugio"
106,Guaymango
107,Jujutla
108,"San Francisco Menéndez"
109,"San Lorenzo"
110,"San Pedro Puxtla"
111,Tacuba
112,"Turín"
201,"Candelaria de la Frontera"
202,Coatepeque
203,Chalchuapa
204,"El Congo"
205,"El Porvenir"
206,Masahuat
207,"Metapán"
208,"San Antonio Pajonal"
209,"San Sebastián Salitrillo"
210,"Santa Ana"
211,"Santa Rosa Guachipilín"
212,"Santiago de la Frontera"
213,Texistepeque
301,Acajutla
302,Armenia
303,Caluco
304,Cuisnahuat
305,"Santa Isabel Ishuatán"
306,Izalco
307,"Juayúa"
308,Nahuizalco
309,Nahuilingo
310,"Salcoatitán"
311,"San Antonio del Monte"
312,"San Julián"
313,"Santa Catarina Masahuat"
314,"Santo Domingo de Guzmán"
315,Sonsonate
316,Sonzacate
401,"Agua Caliente"
402,Arcatao
403,Azacualpa
404,"Citalá"
405,Comalapa
406,"Concepción Quezaltepeque"
407,Chalatenango
408,"Dulce Nombre de María"
409,"El Carrizal"
410,"El Paraíso"
411,"La Laguna"
412,"La Palma"
413,"La Reina"
414,"Las Vueltas"
415,"Nombre de Jesús"
416,"Nueva Concepción"
417,"Nueva Trinidad"
418,"Ojos de Agua"
419,Potonico
420,"San Antonio la Cruz"
421,"San Antonio los Ranchos"
422,"San Fernando"
423,"San Francisco Lempa"
424,"San Francisco Morazán"
425,"San Ignacio"
426,"San Isidro Labrador"
427,"San José Cancasque"
428,"San José las Flores"
429,"San Luis del Carmen"
430,"San Miguel de Mercedes"
431,"San Rafael"
432,"Santa Rita"
433,Tejutla
501,"Antiguo Cuscatlán"
502,"Ciudad Arce"
503,"Colón"
504,Comasagua
505,"Chiltiupán"
506,"Huizúcar"
507,Jayaque
508,Jicalapa
509,"La Libertad"
510,"Nuevo Cuscatlán"
511,"Santa Tecla"
512,Quezaltepeque
513,Sacacoyo
514,"San José Villanueva"
515,"San Juán Opico"
516,"San Matías"
517,"San Pablo Tacachico"
518,Tamanique
519,Talnique
520,Teotepeque
521,Tepecoyo
522,Zaragoza
601,Aguilares
602,Apopa
603,Ayutuxtepeque
604,Cuscatancingo
605,"El Paísnal"
606,Guazapa
607,Ilopango
608,Mejicanos
609,Nejapa
610,Panchimalco
611,"Rosario de Mora"
612,"San Marcos"
613,"San Martín"
614,"San Salvador"
615,"Santiago Texacuangos"
616,"Santo Tomás"
617,Soyapango
618,Tonacatepeque
619,"Ciudad Delgado"
701,Candelaria
702,Cojutepeque
703,"El Carmen"
704,"El Rosario"
705,"Monte San Juán"
706,"Oratorio de Concepción"
707,"San Bartolomé Perulapía"
708,"San Cristóbal"
709,"San José Guayabal"
710,"San Pedro Perulapán"
711,"San Rafael Cedros"
712,"San Ramón"
713,"Santa Cruz Analquito"
714,"Santa Cruz Michapa"
715,Suchitoto
716,Tenancingo
801,"Cuyultitán"
802,"El Rosario"
803,"Jerusalén"
804,"Mercedes La Ceiba"
805,Olocuilta
806,"Paraíso de Osorio"
807,"San Antonio Masahuat"
808,"San Emigdio"
809,"San Francisco Chinameca"
810,"San Juan Nonualco"
811,"San Juan Talpa"
812,"San Juan Tepezontes"
813,"San Luis Talpa"
814,"San Miguel Tepezontes"
815,"San Pedro Masahuat"
816,"San Pedro Nonualco"
817,"San Rafael Obrajuelo"
818,"Santa María Ostuma"
819,"Santiago Nonualco"
820,Tapalhuaca
821,Zacatecoluca
822,"San Luis La Herradura"
901,Cinquera
902,Guacotecti
903,Ilobasco
904,Jutiapa
905,"San Isidro"
906,Sensuntepeque
907,Tejutepeque
908,Victoria
909,"Villa Dolores"
1001,Apastepeque
1002,Guadalupe
1003,"San Cayetano Istepeque"
