year,office,program,program_name
2007,100,1,Dirección y Administración Institucional
2007,100,2,Legislación
2007,100,3,Infraestructura Física
2007,100,4,Modernización y Fortalecimiento Institucional
2007,200,1,Dirección y Administración Institucional
2007,200,2,Control y Auditoría de la Gestión Pública
2007,300,1,Dirección y Administración Institucional
2007,300,2,"Organización, Capacitación, Actualización Electoral y Fortalecimiento Democrático"
2007,300,3,Apoyo a  Entidades Adscritas y a la Gestión Electoral
2007,301,1,Dirección y Administración Institucional
2007,301,2,Registro e Identificación de las  Personas Naturales
2007,400,1,Servicio Civil
2007,500,1,Dirección y Administración Institucional
2007,500,2,Secretaría de Comunicaciones de la Presidencia
2007,500,3,Becas
2007,500,4,Fortalecimiento  Familiar
2007,500,5,Secretaría  Técnica
2007,500,6,Apoyo a  Instituciones  Adscritas
2007,500,7,Apoyo a  Otras  Entidades
2007,501,1,Dirección y Administración Institucional
2007,501,2,Actividades Deportivas
2007,504,1,Dirección y Administración Institucional
2007,504,2,Gestión para el Desarrollo Integral de la Mujer
2007,504,3,Inversión en Equipamiento
2007,505,1,Dirección y Administración Institucional
2007,505,2,Apoyo al Desarrollo Local
2007,505,3,Financiamiento a Gobiernos Municipales
2007,505,4,Financiamiento al Programa Red Solidaria
2007,507,1,Dirección y Administración Institucional
2007,507,2,Desarrollo Humano
2007,507,3,Desarrollo Productivo
2007,507,4,Conectividad
2007,507,5,Rendición de Cuentas
2007,537,1,Dirección y Administración Institucional
2007,537,2,Gestión de Créditos
2007,600,1,Dirección y Administración Institucional
2007,700,1,Dirección y Administración Institucional
2007,700,2,Administración del Presupuesto Público
2007,700,3,Servicios Tributarios Internos
2007,700,4,Administración de Aduanas
2007,700,5,Administración del Tesoro
2007,700,6,Contabilidad Gubernamental
2007,700,7,Apelaciones Tributarias y de Aduanas
2007,700,8,Infraestructura Física
2007,700,9,Financiamiento a Gobiernos Municipales
2007,700,10,Provisión para Atender Gastos Imprevistos
2007,700,11,Financiamiento al Fondo de Inversión Social para el Desarrollo Local
2007,700,12,Financiamiento al Programa de Rehabilitación de Lisiados
2007,700,13,Asistencia Técnica para la Modernización del Sector Público
2007,700,14,Programa para la Rehabilitación del Sector Agropecuario
2007,700,15,Financiamiento al Fondo de Amortización y Fideicomiso del Sistema de Pensiones Público
2007,700,16,Obligaciones Generales del Estado
2007,700,17,Financiamiento al Fondo de Estabilización y Fomento Económico
2007,700,18,Financimiento al Fondo de Inversión Nacional en Electricidad y Telefonía
2007,700,19,Financiamiento a la Red de Protección Social
2007,700,20,Apoyo a la Seguridad Ciudadana
2007,700,21,Financiamiento de Contrapartidas de Proyectos de Inversión
2007,700,22,Financiamiento al Fondo de Prevención y Mitigación de Desastres
2007,700,23,Servicio de la Deuda Pública Interna
2007,700,24,Servicio de la Deuda Pública Externa
2007,700,25,Servicio de la Deuda Pública Externa
2007,700,26,Servicio de la Deuda Pública Externa
2007,701,1,Dirección y Administración Institucional
2007,701,2,Utilidades al Fondo General
2007,701,3,"Comercialización, Comisiones y Premios"
2007,701,4,Adquisición de Productos de Lotería
2007,701,5,Infraestructura Física
2007,703,1,Tesoro Publico
2007,800,1,Dirección y Administración Institucional
2007,800,2,Servicio Diplomático y Consular
2007,800,3,Administración de Política Internacional
2007,800,4,Soberanía Nacional y Fronteras
2007,800,5,Administración de Cooperación Externa
2007,800,6,Apoyo a Otras Entidades
2007,800,99,Unidad Presupuestaria sin Ejecución
2007,900,1,Dirección y  Administración  Institucional
2007,900,2,Gestión Operativa Institucional
2007,900,3,Inversión Institucional
2007,902,1,Dirección y Administración Institucional
2007,902,2,Sumistro y Comercialización
2007,902,3,Inversión Financiera
2007,1500,1,Dirección y Administración Institucional
2007,1500,2,Selección y Evaluación
2007,1500,3,Escuela de Capacitación Judicial
