location,location_name
0101,Ahuachapán
0102,Apaneca
0103,Atiquizaya
0104,Concepción de Ataco
0105,El Refugio
0106,Guaymango
0107,Jujutla
0108,San Francisco Menéndez
0109,San Lorenzo
0110,San Pedro Puxtla
0111,Tacuba
0112,Turín
0201,Candelaria de la Frontera
0202,Coatepeque
0203,Chalchuapa
0204,El Congo
0205,El Porvenir
0206,Masahuat
0207,Metapán
0208,San Antonio Pajonal
0209,San Sebastián Salitrillo
0210,Santa Ana
0211,Santa Rosa Guachipilín
0212,Santiago de la Frontera
0213,Texistepeque
0301,Acajutla
0302,Armenia
0303,Caluco
0304,Cuisnahuat
0305,Santa Isabel Ishuatán
0306,Izalco
0307,Juayúa
0308,Nahuizalco
0309,Nahuilingo
0310,Salcoatitán
0311,San Antonio del Monte
0312,San Julián
0313,Santa Catarina Masahuat
0314,Santo Domingo de Guzmán
0315,Sonsonate
0316,Sonzacate
0401,Agua Caliente
0402,Arcatao
0403,Azacualpa
0404,Citalá
0405,Comalapa
0406,Concepción Quezaltepeque
0407,Chalatenango
0408,Dulce Nombre de María
0409,El Carrizal
0410,El Paraíso
0411,La Laguna
0412,La Palma
0413,La Reina
0414,Las Vueltas
0415,Nombre de Jesús
0416,Nueva Concepción
0417,Nueva Trinidad
0418,Ojos de Agua
0419,Potonico
0420,San Antonio la Cruz
0421,San Antonio los Ranchos
0422,San Fernando
0423,San Francisco Lempa
0424,San Francisco Morazán
0425,San Ignacio
0426,San Isidro Labrador
0427,San José Cancasque
0428,San José las Flores
0429,San Luis del Carmen
0430,San Miguel de Mercedes
0431,San Rafael
0432,Santa Rita
0433,Tejutla
0501,Antiguo Cuscatlán
0502,Ciudad Arce
0503,Colón
0504,Comasagua
0505,Chiltiupán
0506,Huizúcar
0507,Jayaque
0508,Jicalapa
0509,La Libertad
0510,Nuevo Cuscatlán
0511,Santa Tecla
0512,Quezaltepeque
0513,Sacacoyo
0514,San José Villanueva
0515,San Juán Opico
0516,San Matías
0517,San Pablo Tacachico
0518,Tamanique
0519,Talnique
0520,Teotepeque
0521,Tepecoyo
0522,Zaragoza
0601,Aguilares
0602,Apopa
0603,Ayutuxtepeque
0604,Cuscatancingo
0605,El Paísnal
0606,Guazapa
0607,Ilopango
0608,Mejicanos
0609,Nejapa
0610,Panchimalco
0611,Rosario de Mora
0612,San Marcos
0613,San Martín
0614,San Salvador
0615,Santiago Texacuangos
0616,Santo Tomás
0617,Soyapango
0618,Tonacatepeque
0619,Ciudad Delgado
0701,Candelaria
0702,Cojutepeque
0703,El Carmen
0704,El Rosario
0705,Monte San Juán
0706,Oratorio de Concepción
0707,San Bartolomé Perulapía
0708,San Cristóbal
0709,San José Guayabal
0710,San Pedro Perulapán
0711,San Rafael Cedros
0712,San Ramón
0713,Santa Cruz Analquito
0714,Santa Cruz Michapa
0715,Suchitoto
0716,Tenancingo
0801,Cuyultitán
0802,El Rosario
0803,Jerusalén
0804,Mercedes La Ceiba
0805,Olocuilta
0806,Paraíso de Osorio
0807,San Antonio Masahuat
0808,San Emigdio
0809,San Francisco Chinameca
0810,San Juan Nonualco
0811,San Juan Talpa
0812,San Juan Tepezontes
0813,San Luis Talpa
0814,San Miguel Tepezontes
0815,San Pedro Masahuat
0816,San Pedro Nonualco
0817,San Rafael Obrajuelo
0818,Santa María Ostuma
0819,Santiago Nonualco
0820,Tapalhuaca
0821,Zacatecoluca
0822,San Luis La Herradura
0901,Cinquera
0902,Guacotecti
0903,Ilobasco
0904,Jutiapa
0905,San Isidro
0906,Sensuntepeque
0907,Tejutepeque
0908,Victoria
0909,Villa Dolores
1001,Apastepeque
1002,Guadalupe
1003,San Cayetano Istepeque
1004,Santa Clara
1005,Santo Domingo
1006,San Esteban Catarina
1007,San Idelfonso
1008,San Lorenzo
1009,San Sebastián
1010,San Vicente
1011,Tecoluca
1012,Tepetitán
1013,Verapaz
1101,Alegría
1102,Berlín
1103,California
1104,Concepción Batres
1105,El Triunfo
1106,Ereguayquín
1107,Estanzuelas
1108,Jiquilisco
1109,Jucuapa
1110,Jucuarán
1111,Mercedes Umaña
1112,Nueva Granada
1113,Ozatlán
1114,Puerto El Triunfo
1115,San Agustín
1116,San Buenaventura
1117,San Dionisio
1118,Santa Elena
1119,San Francisco Javier
1120,Santa María
1121,Santiago de María
1122,Tecapán
1123,Usulután
1201,Carolina
1202,Ciudad Barrios
1203,Comacarán
1204,Chapeltique
1205,Chinameca
1206,Chirilagua
1207,El Tránsito
1208,Lolotique
1209,Moncagua
1210,Nueva Guadalupe
1211,Nuevo Edén de San Juan
1212,Quelepa
1213,San Antonio del Mosco
1214,San Gerardo
1215,San Jorge
1216,San Luis de la Reina
1217,San Miguel
1218,San Rafael Oriente
1219,Sesori
1220,Uluazapa
1301,Arambala
1302,Cacaopera
1303,Corinto
1304,Chilanga
1305,Delicias de Concepción
1306,El Divisadero
1307,El Rosario
1308,Gualococti
1309,Guatajiagua
1310,Joateca
1311,Jocoaitique
1312,Jocoro
1313,Lolotiquillo
1314,Meanguera
1315,Osicala
1316,Perquín
1317,San Carlos
1318,San Fernando
1319,San Francisco Gotera
1320,San Isidro
1321,San Simón
1322,Sensembra
1323,Sociedad
1324,Torola
1325,Yamabal
1326,Yoloaiquín
1401,Anamorós
1402,Bolívar
1403,Concepción de Oriente
1404,Conchagua
1405,El Carmen
1406,El Sauce
1407,Intipucá
1408,La Unión
1409,Lislique
1410,Meanguera del Golfo
1411,Nueva Esparta
1412,Pasaquina
1413,Polorós
1414,San Alejo
1415,San José La Fuente
1416,Santa Rosa de Lima
1417,Yayantique
1418,Yucuaiquín
