"year","month","office","unit","line","source","object","approved","modified","reserved","accrued"
"2020","01","0100","01","0101","1","51101",303101.0,295422.05,295422.05,295422.05
"2020","01","0100","01","0101","1","51104",3805.0,3740.0,3740.0,3740.0
"2020","01","0100","01","0101","1","51201",1396078.0,1318486.97,1318486.97,1318486.97
"2020","01","0100","01","0101","1","51204",6730.0,7085.0,7085.0,7085.0
"2020","01","0100","01","0101","1","51401",32438.0,12150.25,12150.25,12150.25
"2020","01","0100","01","0101","1","51402",168623.0,67437.67,67437.67,67437.67
"2020","01","0100","01","0101","1","51501",3447.0,20615.63,20615.63,20615.63
"2020","01","0100","01","0101","1","51502",11601.0,89202.88,89202.88,89202.88
"2020","01","0100","01","0101","1","51702",0.0,7478.63,7478.63,7478.63
"2020","01","0100","01","0101","1","54101",6035.0,6035.0,0.0,0.0
"2020","01","0100","01","0101","1","54105",7775.0,7775.0,0.0,0.0
"2020","01","0100","01","0101","1","54106",8.0,8.0,0.0,0.0
"2020","01","0100","01","0101","1","54107",1910.0,1910.0,0.0,0.0
"2020","01","0100","01","0101","1","54112",50.0,50.0,0.0,0.0
"2020","01","0100","01","0101","1","54114",6040.0,6040.0,0.0,0.0
"2020","01","0100","01","0101","1","54115",570.0,570.0,0.0,0.0
"2020","01","0100","01","0101","1","54116",5.0,5.0,0.0,0.0
"2020","01","0100","01","0101","1","54118",10.0,10.0,0.0,0.0
"2020","01","0100","01","0101","1","54119",70.0,70.0,0.0,0.0
"2020","01","0100","01","0101","1","54199",1575.0,1575.0,0.0,0.0
"2020","01","0100","01","0101","1","54304",460.0,460.0,0.0,0.0
"2020","01","0100","01","0101","1","54314",2740.0,0.0,0.0,0.0
"2020","01","0100","01","0101","1","61101",1925.0,1925.0,0.0,0.0
"2020","01","0100","01","0101","1","61102",2325.0,2325.0,389.0,389.0
"2020","01","0100","01","0101","1","61199",370.0,370.0,0.0,0.0
"2020","01","0100","01","0102","1","51101",115540.0,75992.33,75992.33,75992.33
"2020","01","0100","01","0102","1","51104",0.0,1190.0,1190.0,1190.0
"2020","01","0100","01","0102","1","51201",138296.0,131609.09,131609.09,131609.09
"2020","01","0100","01","0102","1","51204",1000.0,1000.0,1000.0,1000.0
"2020","01","0100","01","0102","1","51301",15000.0,14679.53,14679.53,14679.53
"2020","01","0100","01","0102","1","51401",13237.0,2832.75,2832.75,2832.75
"2020","01","0100","01","0102","1","51402",17175.0,7076.25,7076.25,7076.25
"2020","01","0100","01","0102","1","51403",0.0,511.65,511.65,511.65
"2020","01","0100","01","0102","1","51501",1060.0,5388.44,5388.44,5388.44
"2020","01","0100","01","0102","1","51502",647.0,9716.0,9716.0,9716.0
"2020","01","0100","01","0102","1","51503",0.0,1013.6,1013.6,1013.6
"2020","01","0100","01","0102","1","51903",18000.0,4338.0,4338.0,4338.0
"2020","01","0100","01","0102","1","51999",3333.0,3333.0,0.0,0.0
"2020","01","0100","01","0102","1","54101",740.0,740.0,0.0,0.0
"2020","01","0100","01","0102","1","54105",2940.0,2940.0,0.0,0.0
"2020","01","0100","01","0102","1","54106",210.0,210.0,0.0,0.0
"2020","01","0100","01","0102","1","54107",485.0,485.0,0.0,0.0
"2020","01","0100","01","0102","1","54114",1605.0,1605.0,0.0,0.0
"2020","01","0100","01","0102","1","54115",290.0,290.0,0.0,0.0
"2020","01","0100","01","0102","1","54118",30.0,30.0,0.0,0.0
"2020","01","0100","01","0102","1","54119",10.0,10.0,0.0,0.0
"2020","01","0100","01","0102","1","54199",165.0,165.0,0.0,0.0
"2020","01","0100","01","0102","1","54201",17500.0,14146.97,14146.97,13868.97
"2020","01","0100","01","0102","1","54314",1450.0,1450.0,0.0,0.0
"2020","01","0100","01","0102","1","54399",16350.0,12495.03,480.0,480.0
"2020","01","0100","01","0102","1","55599",80.0,80.0,0.0,0.0
"2020","01","0100","01","0102","1","5623231",50.0,50.0,22.86,22.86
"2020","01","0100","01","0102","1","61101",620.0,620.0,0.0,0.0
"2020","01","0100","01","0102","1","61102",0.0,99.9,99.9,99.9
"2020","01","0100","01","0103","1","51101",137485.0,136874.43,136874.43,136874.43
"2020","01","0100","01","0103","1","51104",0.0,1460.0,1460.0,1460.0
"2020","01","0100","01","0103","1","51201",266145.0,268042.21,268042.21,268042.21
"2020","01","0100","01","0103","1","51204",0.0,700.0,700.0,700.0
"2020","01","0100","01","0103","1","51401",13638.0,6692.63,6692.63,6692.63
"2020","01","0100","01","0103","1","51402",32827.0,15900.12,15900.12,15900.12
"2020","01","0100","01","0103","1","51501",3013.0,8600.19,8600.19,8600.19
"2020","01","0100","01","0103","1","51502",2352.0,17929.52,17929.52,17929.52
"2020","01","0100","01","0103","1","54101",1175.0,1175.0,0.0,0.0
"2020","01","0100","01","0103","1","54103",0.0,79.9,79.9,79.9
"2020","01","0100","01","0103","1","54105",3485.0,3524.75,579.75,579.75
"2020","01","0100","01","0103","1","54106",100.0,100.0,0.0,0.0
