"year","office","unit","line","source","month","object","approved","modified","modified","accrued"
"2020","0100","01","0101","1","04","51101",303101.0,290681.68,290681.68,290681.68
"2020","0100","01","0101","1","05","51101",303101.0,294306.68,294306.68,294306.68
"2020","0100","01","0101","1","06","51101",303101.0,290681.68,290681.68,290681.68
"2020","0100","01","0101","1","07","51101",303101.0,334818.02,290681.68,290681.68
"2020","0100","01","0101","1","04","51104",3805.0,3625.0,3625.0,3625.0
"2020","0100","01","0101","1","05","51104",3805.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","51104",3805.0,3625.0,3625.0,3625.0
"2020","0100","01","0101","1","07","51104",3805.0,3805.0,3625.0,3625.0
"2020","0100","01","0101","1","06","51107",280000.0,294707.4,294707.4,294707.4
"2020","0100","01","0101","1","04","51201",1396078.0,1377857.2,1377857.2,1377857.2
"2020","0100","01","0101","1","05","51201",1396078.0,1387355.77,1387355.77,1387355.77
"2020","0100","01","0101","1","06","51201",1396078.0,1380955.55,1380808.88,1380808.88
"2020","0100","01","0101","1","07","51201",1396078.0,1396078.0,1373945.28,1373945.28
"2020","0100","01","0101","1","04","51204",6730.0,7541.29,7541.29,7541.29
"2020","0100","01","0101","1","05","51204",6730.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","51204",6730.0,7545.0,7545.0,7545.0
"2020","0100","01","0101","1","07","51204",6730.0,7730.0,7545.0,7545.0
"2020","0100","01","0101","1","05","51207",0.0,900.0,900.0,900.0
"2020","0100","01","0101","1","06","51207",333000.0,1242231.4,1242231.4,1242231.4
"2020","0100","01","0101","1","04","51401",32438.0,11961.54,11961.54,11961.54
"2020","0100","01","0101","1","05","51401",32438.0,11961.54,11961.54,11961.54
"2020","0100","01","0101","1","06","51401",32438.0,11961.54,11961.54,11961.54
"2020","0100","01","0101","1","07","51401",32438.0,32438.0,11961.54,11961.54
"2020","0100","01","0101","1","04","51402",168623.0,70685.65,70685.65,70685.65
"2020","0100","01","0101","1","05","51402",168623.0,70846.83,70846.83,70846.83
"2020","0100","01","0101","1","06","51402",168623.0,70863.23,70863.23,70863.23
"2020","0100","01","0101","1","07","51402",168623.0,168368.0,70571.43,70571.43
"2020","0100","01","0101","1","04","51501",3447.0,20271.05,20271.05,20271.05
"2020","0100","01","0101","1","05","51501",3447.0,20271.05,20271.05,20271.05
"2020","0100","01","0101","1","06","51501",3447.0,20271.05,20271.05,20271.05
"2020","0100","01","0101","1","07","51501",3447.0,20447.0,20271.05,20271.05
"2020","0100","01","0101","1","04","51502",11601.0,94428.88,94428.88,94428.88
"2020","0100","01","0101","1","05","51502",11601.0,94566.55,94566.55,94566.55
"2020","0100","01","0101","1","06","51502",11601.0,94287.87,94287.87,94287.87
"2020","0100","01","0101","1","07","51502",11601.0,105376.16,94231.31,94231.31
"2020","0100","01","0101","1","04","51702",0.0,684.54,684.54,684.54
"2020","0100","01","0101","1","06","51702",0.0,630.0,630.0,630.0
"2020","0100","01","0101","1","07","51702",0.0,479.84,479.84,479.84
"2020","0100","01","0101","1","04","54101",5840.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54101",5705.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54101",5765.0,7162.94,7162.94,7162.94
"2020","0100","01","0101","1","07","54101",5945.0,13434.24,13434.24,13434.24
"2020","0100","01","0101","1","04","54103",100.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54103",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54103",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54104",15.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54105",7190.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54105",7050.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54105",6830.0,20000.0,0.0,0.0
"2020","0100","01","0101","1","07","54105",7600.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54106",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54106",155.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54106",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","07","54106",8.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54107",1800.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54107",1885.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54107",1780.0,1030.5,1030.5,1030.5
"2020","0100","01","0101","1","07","54107",1890.0,648.0,648.0,648.0
"2020","0100","01","0101","1","04","54112",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54112",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54112",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54114",3210.0,167.12,167.12,0.0
"2020","0100","01","0101","1","05","54114",2995.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54114",2755.0,4591.29,0.0,0.0
"2020","0100","01","0101","1","07","54114",4260.0,4000.0,0.0,0.0
"2020","0100","01","0101","1","04","54115",410.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54115",810.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54115",195.0,0.0,0.0,0.0
"2020","0100","01","0101","1","07","54115",735.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54116",5.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54116",5.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54116",5.0,0.0,0.0,0.0
"2020","0100","01","0101","1","07","54116",5.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54118",10.0,207.95,207.95,0.0
"2020","0100","01","0101","1","05","54118",10.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54118",10.0,0.0,0.0,0.0
"2020","0100","01","0101","1","07","54118",10.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54119",40.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54119",70.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54119",520.0,0.0,0.0,0.0
"2020","0100","01","0101","1","07","54119",70.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54199",1140.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54199",1165.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54199",975.0,2359.92,2359.92,2359.92
"2020","0100","01","0101","1","07","54199",1280.0,0.0,0.0,0.0
"2020","0100","01","0101","1","04","54301",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54301",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54301",0.0,473.6,0.0,0.0
"2020","0100","01","0101","1","04","54303",2300.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54303",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54303",0.0,4345.0,0.0,0.0
"2020","0100","01","0101","1","04","54304",460.0,3466.48,3466.48,281.58
"2020","0100","01","0101","1","05","54304",460.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54304",460.0,616.01,543.4,543.4
"2020","0100","01","0101","1","07","54304",460.0,271.7,271.7,271.7
"2020","0100","01","0101","1","04","54314",2335.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54314",2835.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54314",2635.0,11587.0,0.0,0.0
"2020","0100","01","0101","1","07","54314",2735.0,2735.0,0.0,0.0
"2020","0100","01","0101","1","04","54316",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54316",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54316",0.0,1212.5,0.0,0.0
"2020","0100","01","0101","1","04","54599",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","54599",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","54599",1000.0,2000.0,0.0,0.0
"2020","0100","01","0101","1","04","61101",920.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","61101",2100.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","61101",600.0,17495.0,0.0,0.0
"2020","0100","01","0101","1","07","61101",1890.0,484.13,0.0,0.0
"2020","0100","01","0101","1","04","61102",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","61102",400.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","61102",400.0,4006.0,0.0,0.0
"2020","0100","01","0101","1","04","61104",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","61104",0.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","61104",0.0,1000.0,0.0,0.0
"2020","0100","01","0101","1","04","61199",385.0,0.0,0.0,0.0
"2020","0100","01","0101","1","05","61199",160.0,0.0,0.0,0.0
"2020","0100","01","0101","1","06","61199",80.0,2505.0,0.0,0.0
"2020","0100","01","0101","1","07","61199",180.0,180.0,0.0,0.0
"2020","0100","01","0102","1","04","51101",115540.0,76556.14,76556.14,76556.14
