"CODIGO";"NOMBRE"
"31";"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA"
"3101";"PRODUCCIÓN AGRÍCOLA, PECUARIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
"310101";"Cultivo de cereales excepto arroz y para forrajes"
"310102";"Cultivo de legumbres "
"310103";"Cultivo de semillas oleaginosas"
"310104";"Cultivo de plantas para la preparación de semillas "
"310105";"Cultivo de otros cereales excepto arroz y forrajeros n.c.p."
"310106";"Cultivo de arroz"
"310107";"Cultivo de raíces y tubérculos"
"310108";"Cultivo de brotes, bulbos, vegetales tubérculos y cultivos similares"
"310109";"Cultivo hortícola de fruto"
"310110";"Cultivo de hortalizas de hoja y otras hortalizas ncp"
"310111";"Cultivo de caña de azúcar"
"310112";"Cultivo de tabaco"
"310113";"Cultivo de algodón"
"310114";"Cultivo de fibras vegetales excepto algodón"
"310115";"Cultivo de plantas no perennes  para la producción de semillas y flores  "
"310116";"Cultivo de cereales y pastos para la alimentación animal"
"310117";"Producción de cultivos no estacionales  ncp"
"310118";"Cultivo de frutas tropicales"
"310119";"Cultivo de cítricos"
"310120";"Cultivo de frutas de pepita y hueso "
"310121";"Cultivo de frutas ncp"
"310122";"Cultivo de otros frutos  y nueces de árboles y arbustos "
"310123";"Cultivo de frutos oleaginosos"
"310124";"Cultivo de café"
"310125";"Cultivo de plantas para la elaboración de bebidas excepto café"
"310126";"Cultivo de especias y aromáticas"
"310127";"Cultivo de plantas para la obtención de productos medicinales y farmacéuticos"
"310128";"Cultivo de árboles de hule (caucho) para la obtención de látex"
"310129";"Cultivo de plantas para la obtención de productos químicos y colorantes"
"310130";"Producción de cultivos perennes ncp"
"310131";"Propagación de plantas "
"310132";"Cultivo de plantas y flores ornamentales"
"310133";"Cría y engorde de ganado bovino"
"310134";"Cría de caballos y otros equinos"
"310135";"Cría de ovejas y cabras "
"310136";"Cría de cerdos"
"310137";"Cría de aves de corral y producción de huevos"
