code,funding,fundpop,fundeq,fundpov,fundter,pop,popurb,cases,shp2,dep,mun,area,party,trfpop,dens,infpop,quintile,grp,agr
0101,2823257.15,1410810.662771821,182919.8454961832,1196616.119740333,32910.5350023738,316090,100,8253,194,San Salvador,San Salvador,72.25,ARENA,8.931814198487773,4.374948096885813,26.109652314214305,5,1,1
0102,1046090.57,373172.94638448604,182919.8454961832,474774.653162046,15223.114864765841,120200,93.3,1040,183,San Salvador,Ciuad Delgado,33.42,ARENA,8.702916555740432,3.596648713345302,8.652246256239602,5,2,3
0103,1102355.15,492030.68941576895,182919.8454961832,417328.74927982,10075.86270522503,140751,100,2599,188,San Salvador,Mejicanos,22.12,FMLN,7.831952526092176,6.363065099457504,18.465232929073327,5,1,1
0104,1459561.35,886956.18015246,182919.8454961832,376147.593695299,13537.73159128787,241403,100,4731,197,San Salvador,Soyapango,29.72,ARENA,6.046160776792335,8.122577388963661,19.59793374564525,5,1,1
0105,1410101.8,976299.8935278561,182919.8454961832,248422.3202392092,2459.75315588676,66400,100,669,182,San Salvador,Cuscatancingo,5.4,ARENA,21.236472891566265,12.296296296296296,10.075301204819278,5,3,2
0106,1466071.3199999998,1017535.9756883429,182919.8454961832,258914.96181041602,6700.53404131375,63209,100,779,192,San Salvador,San Marcos,14.71,FMLN,23.194028065623563,4.2970088375254925,12.324194339413692,5,3,2
0107,767669.19,307857.58173918,182919.8454961832,261117.49245050002,15774.28101636269,103862,100,1365,186,San Salvador,Ilopango,34.63,ARENA,7.391242128978837,2.999191452497834,13.14243900560359,4,1,1
0108,1111003.58,649206.734920073,182919.8454961832,240905.7606512691,37971.236939762995,29458,56.1,268,189,San Salvador,Nejapa,83.36,FMLN,37.71483400095051,0.3533829174664107,9.097698418086768,5,3,2
0109,1049201.78,370849.597168854,182919.8454961832,471818.741269664,23613.5942965129,131286,100,1172,180,San Salvador,Apopa,51.84,ARENA,7.991726307450909,2.532523148148148,8.927075240315036,5,2,3
0110,1494163.0899999999,960080.594939196,182919.8454961832,325727.02933020203,25435.63107865124,72758,90.7,580,193,San Salvador,San Martín,55.84,ARENA,20.53606599961516,1.3029727793696275,7.971631985486132,5,2,3
0111,1369667.3399999999,771729.529374847,182919.8454961832,374035.80846419104,40982.1562472466,41260,39.2,348,190,San Salvador,Panchimalco,89.97,FMLN,33.19600920988851,0.458597310214516,8.434318952981094,5,3,2
0112,900895.18,555403.1435474181,182919.8454961832,147212.4255614275,15359.76837342621,21267,90,143,179,San Salvador,Aguilares,33.72,GANA,42.3611783514365,0.6306939501779361,6.724032538674943,4,2,3
0113,1153604.1,742983.154956872,182919.8454961832,196931.45747935568,30769.640033361196,90896,86,579,198,San Salvador,Tonacatepeque,67.55,ARENA,12.691472672064778,1.3456106587712806,6.3699172680866045,5,2,3
